Account,Symbol,Description,Symbol type,Expiration date,Strike price,Side,Order type,Quantity,Price,Trigger price,TIF,Status,Date/Time,Order ID,Order group ID,Connection name,Original status,Additional parameters,Exchange,Comment,Average fill price,Order value,Qty. filled,Qty. remaining,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Market( for d6fdbe5c9ab44009bfd7e15ed3ff18f1),-1,,,GTC,Filled,7/5/2026 5:16:36 PM,aaad2d99-f509-4c66-8ec5-b0e1e7d31de7,,Trading Simulator,,,CME,,7558,,-1,0,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Market( for d6fdbe5c9ab44009bfd7e15ed3ff18f1),-1,,,GTC,Opened,7/5/2026 5:16:36 PM,aaad2d99-f509-4c66-8ec5-b0e1e7d31de7,,Trading Simulator,,,CME,,,,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Limit (OCO),-1,7558.75,,GTC,Opened,7/5/2026 5:15:44 PM,40e86252-c245-4879-b54b-f3c112d4cc59,2f954b99-a094-4394-a3da-7b4eaaf63178,Trading Simulator,,,CME,,,-37793.75,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Stop (OCO),-1,,7555,GTC,Opened,7/5/2026 5:15:35 PM,b00123c1-eb8c-4a7b-99a7-182917b4b0f7,2f954b99-a094-4394-a3da-7b4eaaf63178,Trading Simulator,,,CME,,,-37775,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Stop (OCO),-1,,7548.25,GTC,Opened,7/5/2026 5:08:28 PM,b00123c1-eb8c-4a7b-99a7-182917b4b0f7,2f954b99-a094-4394-a3da-7b4eaaf63178,Trading Simulator,,,CME,,,-37741.25,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Stop (OCO),-1,,7550.75,GTC,Opened,7/5/2026 5:08:25 PM,b00123c1-eb8c-4a7b-99a7-182917b4b0f7,2f954b99-a094-4394-a3da-7b4eaaf63178,Trading Simulator,,,CME,,,-37753.75,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Limit (OCO),-1,7560.25,,GTC,Opened,7/5/2026 5:06:12 PM,40e86252-c245-4879-b54b-f3c112d4cc59,2f954b99-a094-4394-a3da-7b4eaaf63178,Trading Simulator,,,CME,,,-37801.25,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Stop (OCO),-1,,7552.25,GTC,Opened,7/5/2026 5:06:12 PM,b00123c1-eb8c-4a7b-99a7-182917b4b0f7,2f954b99-a094-4394-a3da-7b4eaaf63178,Trading Simulator,,,CME,,,-37761.25,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Buy,Market,1,,,GTC,Filled,7/5/2026 5:06:12 PM,c8a3c40f-1f63-4342-a38d-f58c3f9d2344,,Trading Simulator,,,CME,,7557.25,,1,0,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Buy,Market,1,,,GTC,Opened,7/5/2026 5:06:12 PM,c8a3c40f-1f63-4342-a38d-f58c3f9d2344,,Trading Simulator,,,CME,,,,0,1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Market( for d6fdbe5c9ab44009bfd7e15ed3ff18f1),-1,,,GTC,Filled,7/5/2026 5:06:02 PM,3b683993-8c98-499b-bffa-48545fad870d,,Trading Simulator,,,CME,,7556.5,,-1,0,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Market( for d6fdbe5c9ab44009bfd7e15ed3ff18f1),-1,,,GTC,Opened,7/5/2026 5:06:02 PM,3b683993-8c98-499b-bffa-48545fad870d,,Trading Simulator,,,CME,,,,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Limit (OCO),-1,7558,,GTC,Opened,7/5/2026 5:05:23 PM,68be7bbc-4745-463e-85f2-50f954558d1a,c9e97b66-9830-4a28-9f48-ab3edcdb1855,Trading Simulator,,,CME,,,-37790,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Stop (OCO),-1,,7550,GTC,Opened,7/5/2026 5:05:23 PM,7e226e4b-bced-4cab-8e27-8087f23ca582,c9e97b66-9830-4a28-9f48-ab3edcdb1855,Trading Simulator,,,CME,,,-37750,0,-1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Buy,Market,1,,,GTC,Filled,7/5/2026 5:05:23 PM,1e586e98-b1c3-4faa-a166-432f64fb2de6,,Trading Simulator,,,CME,,7555,,1,0,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Buy,Market,1,,,GTC,Opened,7/5/2026 5:05:23 PM,1e586e98-b1c3-4faa-a166-432f64fb2de6,,Trading Simulator,,,CME,,,,0,1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Buy,Limit (OCO),1,7551.5,,GTC,Filled,7/5/2026 5:04:32 PM,dde66f78-2e24-4960-aafc-f0f7e0a97a97,71abac18-5b8e-40d8-b992-b3266400e70d,Trading Simulator,,,CME,,7551.5,37757.5,1,0,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Buy,Limit (OCO),1,7551.5,,GTC,Opened,7/5/2026 5:04:32 PM,dde66f78-2e24-4960-aafc-f0f7e0a97a97,71abac18-5b8e-40d8-b992-b3266400e70d,Trading Simulator,,,CME,,,37757.5,0,1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Buy,Stop (OCO),1,,7559.5,GTC,Opened,7/5/2026 5:04:32 PM,2f93ebea-bf3f-463f-a9ab-eb76be11fd05,71abac18-5b8e-40d8-b992-b3266400e70d,Trading Simulator,,,CME,,,37797.5,0,1,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Market,-1,,,GTC,Filled,7/5/2026 5:04:32 PM,5769831a-fd29-4c07-a389-38c7ac30830b,,Trading Simulator,,,CME,,7554.5,,-1,0,
Account 1 (USD),MESU26,AMP/CQG,Futures,9/17/2026 7:00:00 PM,0,Sell,Market,-1,,,GTC,Opened,7/5/2026 5:04:32 PM,5769831a-fd29-4c07-a389-38c7ac30830b,,Trading Simulator,,,CME,,,,0,-1,
