Position ID,Timestamp,Trade Date,Net Pos,Net Price,Bought,Avg. Buy,Sold,Avg. Sell,Account,Contract,Product,Product Description,_priceFormat,_priceFormatType,_tickSize,Pair ID,Buy Fill ID,Sell Fill ID,Paired Qty,Buy Price,Sell Price,P/L,Currency,Bought Timestamp,Sold Timestamp
540725260016,06/14/2026 18:04:19,2026-06-15,0,,1,7494.25,1,7494.75,DEMO8049461,ESM6,ES,E-Mini S&P 500,-2,0,0.25,540725260026,540725260010,540725260021,1,7494.25,7494.75,25.00,USD,06/14/2026 18:03:54,06/14/2026 18:04:19
540725260038,06/14/2026 18:51:04,2026-06-15,0,,2,7491.50,2,7491.50,DEMO8049461,MESM6,MES,Micro E-mini S&P 500,-2,0,0.25,540725260135,540725260033,540725260130,1,7491.75,7491.75,0.00,USD,06/14/2026 18:13:48,06/14/2026 18:50:51
540725260038,06/14/2026 18:51:04,2026-06-15,0,,2,7491.50,2,7491.50,DEMO8049461,MESM6,MES,Micro E-mini S&P 500,-2,0,0.25,540725260155,540725260141,540725260150,1,7491.25,7491.25,0.00,USD,06/14/2026 18:51:01,06/14/2026 18:51:04
540725260049,06/14/2026 18:50:46,2026-06-15,0,,2,7555.13,2,7556.13,DEMO8049461,MESU6,MES,Micro E-mini S&P 500,-2,0,0.25,540725260081,540725260076,540725260044,1,7554.75,7558.00,16.25,USD,06/14/2026 18:45:14,06/14/2026 18:40:17
540725260049,06/14/2026 18:50:46,2026-06-15,0,,2,7555.13,2,7556.13,DEMO8049461,MESU6,MES,Micro E-mini S&P 500,-2,0,0.25,540725260124,540725260088,540725260119,1,7555.50,7554.25,-6.25,USD,06/14/2026 18:49:36,06/14/2026 18:50:46
540725260199,06/16/2026 11:10:43,2026-06-16,0,,3,7550.33,3,7550.42,DEMO8049461,MESM6,MES,Micro E-mini S&P 500,-2,0,0.25,540725260225,540725260211,540725260220,1,7550.00,7549.75,-1.25,USD,06/16/2026 11:05:11,06/16/2026 11:05:19
540725260199,06/16/2026 11:10:43,2026-06-16,0,,3,7550.33,3,7550.42,DEMO8049461,MESM6,MES,Micro E-mini S&P 500,-2,0,0.25,540725260268,540725260235,540725260263,1,7551.00,7550.00,-5.00,USD,06/16/2026 11:06:15,06/16/2026 11:06:24
540725260199,06/16/2026 11:10:43,2026-06-16,0,,3,7550.33,3,7550.42,DEMO8049461,MESM6,MES,Micro E-mini S&P 500,-2,0,0.25,540725260282,540725260257,540725260277,1,7550.00,7551.50,7.50,USD,06/16/2026 11:06:24,06/16/2026 11:10:43
540725260293,06/16/2026 11:21:28,2026-06-16,0,,1,7619.25,1,7618.25,DEMO8049461,ESU6,ES,E-Mini S&P 500,-2,0,0.25,540725260304,540725260299,540725260288,1,7619.25,7618.25,-50.00,USD,06/16/2026 11:21:28,06/16/2026 11:21:21
